DaysPostVax,Animal,OD,Group
wk9,12.6,0.2185,Ec
wk9,12.7,0.0977,Ec
wk9,14.1,0.0418,Ec
wk9,14.2,0.09005,Ec
wk9,14.3,0,Ec
wk9,14.4,0.08725,Ec
wk9,14.5,0,Ec
wk9,14.6,0.295,Ec
wk9,14.7,0,Ec
wk9,14.8,0,Ec
wk9,15.1,0.20125,Ec
wk9,15.2,0,Ec
wk9,15.3,0.1137,Ec
wk9,15.4,0.1688,Ec
wk9,16.1,0.1295,Ec
wk9,16.4,0.38625,Ec
wk9,16.5,0,Ec
d63/wk9,16.6,0.05955,Ec
d70/wk10,1.2,0.0282,EcA
wk10,1.3,0.0724,EcA
wk10,1.5,0.1977,EcA
wk10,1.6,0.08265,EcA
wk10,1.7,0.06965,EcA
wk10,2.1,0.0581,EcA
wk10,2.2,0.0369,EcA
wk10,2.4,0.08445,EcA
wk10,2.5,0.05165,EcA
wk10,2.6,0.1074,EcA
wk10,3.2,0.48275,EcA
wk10,3.3,0.47145,EcA
wk10,3.4,0.30555,EcA
wk10,5.1,0.10285,EcA
wk10,5.2,0.1887,EcA
wk10,5.3,0.1469,EcA
wk10,5.5,0.1156,EcA
wk10,12.1,0.08355,Ec
wk10,12.2,0.0558,Ec
wk10,12.3,0.0035,Ec
wk10,12.5,0.0767,Ec
wk10,12.6,0.05225,Ec
wk10,12.7,0.034,Ec
wk10,14.1,0.1503,Ec
wk10,14.2,0.09285,Ec
wk10,14.3,0.0249,Ec
wk10,14.4,0.02395,Ec
wk10,14.5,0.0596,Ec
wk10,14.6,0.14405,Ec
wk10,14.7,0.06845,Ec
wk10,14.8,0.05555,Ec
wk10,15.1,0.056,Ec
wk10,15.2,0.01655,Ec
wk10,15.3,0.14075,Ec
wk10,15.4,0.12845,Ec
wk10,16.1,0.03565,Ec
wk10,16.4,0.1875,Ec
wk10,16.5,0.02245,Ec
d70/wk10,16.6,0.12235,Ec
d77/wk11,1.1,0.06,EcA
wk11,1.2,0.02825,EcA
wk11,1.3,0.0353,EcA
wk11,1.5,0.05665,EcA
wk11,1.6,0.06755,EcA
wk11,1.7,0.08135,EcA
wk11,2.1,0.09155,EcA
wk11,2.2,0.0333,EcA
wk11,2.4,0.03795,EcA
wk11,2.5,0.033,EcA
